dataset,retriever,model,top_k,EM,hit@k,precision@k,recall@k,mrr,map@k,mean_top1_cosine,mean_top1_bm25_score
sentence,embedding,baseline_paraphrase_miniLM,1,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.6598373651504517,
sentence,embedding,baseline_paraphrase_miniLM,3,,0.6962025316455697,0.23206751054852323,0.6962025316455697,0.5907172995780592,0.5907172995780592,,
sentence,embedding,baseline_paraphrase_miniLM,5,,0.7721518987341772,0.1544303797468353,0.7721518987341772,0.6071729957805908,0.6071729957805908,,
sentence,embedding,baseline_paraphrase_miniLM,10,,0.8607594936708861,0.0860759493670885,0.8607594936708861,0.6178772352822987,0.6178772352822987,,
sentence,embedding,finetuned,1,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.657954752445221,
sentence,embedding,finetuned,3,,0.6708860759493671,0.22362869198312244,0.6708860759493671,0.5654008438818566,0.5654008438818566,,
sentence,embedding,finetuned,5,,0.7974683544303798,0.1594936708860758,0.7974683544303798,0.5938818565400844,0.5938818565400844,,
sentence,embedding,finetuned,10,,0.8860759493670886,0.08860759493670875,0.8860759493670886,0.6051285915209966,0.6051285915209966,,
sentence,tfidf,tfidf,1,0.7974683544303798,0.7974683544303798,0.7974683544303798,0.7974683544303798,0.7974683544303798,0.7974683544303798,0.22191059739391644,
sentence,tfidf,tfidf,3,,0.9367088607594937,0.31223628691983096,0.9367088607594937,0.8649789029535866,0.8649789029535866,,
sentence,tfidf,tfidf,5,,0.9493670886075949,0.18987341772151872,0.9493670886075949,0.8675105485232067,0.8675105485232067,,
sentence,tfidf,tfidf,10,,0.9873417721518988,0.09873417721518972,0.9873417721518988,0.8730108499095841,0.8730108499095841,,
sentence,bm25,bm25,1,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076,,10.777143170025681
sentence,bm25,bm25,3,,0.9113924050632911,0.30379746835443017,0.9113924050632911,0.8248945147679325,0.8248945147679325,,
sentence,bm25,bm25,5,,0.9493670886075949,0.18987341772151872,0.9493670886075949,0.8337552742616035,0.8337552742616035,,
sentence,bm25,bm25,10,,0.9873417721518988,0.09873417721518972,0.9873417721518988,0.8397830018083184,0.8397830018083184,,
word,embedding,baseline_paraphrase_miniLM,1,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.6671900749206543,
word,embedding,baseline_paraphrase_miniLM,3,,0.7157894736842105,0.23859649122807003,0.7157894736842105,0.612280701754386,0.612280701754386,,
word,embedding,baseline_paraphrase_miniLM,5,,0.7894736842105263,0.15789473684210503,0.7894736842105263,0.629122807017544,0.629122807017544,,
word,embedding,baseline_paraphrase_miniLM,10,,0.8736842105263158,0.08736842105263144,0.8736842105263158,0.6406098579782791,0.6406098579782791,,
word,embedding,finetuned,1,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.6294252872467041,
word,embedding,finetuned,3,,0.6947368421052632,0.23157894736842094,0.6947368421052632,0.5859649122807018,0.5859649122807018,,
word,embedding,finetuned,5,,0.7473684210526316,0.14947368421052612,0.7473684210526316,0.5985964912280702,0.5985964912280702,,
word,embedding,finetuned,10,,0.8842105263157894,0.0884210526315788,0.8842105263157894,0.6163951545530495,0.6163951545530495,,
word,tfidf,tfidf,1,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.22520213713544818,
word,tfidf,tfidf,3,,0.8526315789473684,0.2842105263157892,0.8526315789473684,0.7649122807017543,0.7649122807017543,,
word,tfidf,tfidf,5,,0.9052631578947369,0.18105263157894705,0.9052631578947369,0.777017543859649,0.777017543859649,,
word,tfidf,tfidf,10,,0.9578947368421052,0.09578947368421036,0.9578947368421052,0.7848370927318294,0.7848370927318294,,
word,bm25,bm25,1,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685,,10.527470630599584
word,bm25,bm25,3,,0.8631578947368421,0.2877192982456137,0.8631578947368421,0.7543859649122806,0.7543859649122806,,
word,bm25,bm25,5,,0.8947368421052632,0.17894736842105233,0.8947368421052632,0.7622807017543859,0.7622807017543859,,
word,bm25,bm25,10,,0.9473684210526315,0.094736842105263,0.9473684210526315,0.7702172096908941,0.7702172096908941,,
